uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"a20b1556-f34d-4a56-b20d-b4e5c56b9495","2021-08-04","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2021-06-23T01:01Z","2021-06-23T01:01Z","HEAL_048-M-9.5-21.5-20210622","A00000307185","HEAL_048-M-9.5-21.5-20210622-CN","A00000307187","soil","N","N",0.8,-25.4,1.22,38.76,31.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"1e8ba6c0-0f30-48aa-8e8a-a38951cb0642","2021-08-04","HEAL_048.basePlot.bgc","D19","HEAL","HEAL_048","tower","2021-06-23T01:01Z","2021-06-23T01:01Z","HEAL_048-O-9.5-21.5-20210622","A00000307198","HEAL_048-O-9.5-21.5-20210622-CN","A00000307193","soil","N","N",0.3,-26.0,0.95,43.82,45.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"475f23aa-79b2-4316-94b4-fd9ed150e473","2021-08-05","HEAL_005.basePlot.bgc","D19","HEAL","HEAL_005","distributed","2021-06-23T19:14Z","2021-06-23T19:14Z","HEAL_005-O-36-25-20210623","A00000307361","HEAL_005-O-36-25-20210623-CN","A00000307252","soil","N","N",0.2,-27.5,1.46,46.31,31.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"3a29cdac-53d4-439d-b7a1-64f8c53c202f","2021-08-05","HEAL_005.basePlot.bgc","D19","HEAL","HEAL_005","distributed","2021-06-23T19:14Z","2021-06-23T19:14Z","HEAL_005-M-36-25-20210623","A00000307364","HEAL_005-M-36-25-20210623-CN","A00000307175","soil","N","N",3.6,-26.1,0.93,23.26,25.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f9732b7c-ebfe-4b47-9ea9-e3eb4eac4ada","2021-08-05","HEAL_005.basePlot.bgc","D19","HEAL","HEAL_005","distributed","2021-06-23T19:43Z","2021-06-23T19:43Z","HEAL_005-M-34.5-7.5-20210623","A00000307365","HEAL_005-M-34.5-7.5-20210623-CN","A00000307191","soil","N","N",3.1,-26.1,1.43,38.93,27.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"cd1d5897-f16a-4818-9a1a-40154e85b667","2021-08-05","HEAL_005.basePlot.bgc","D19","HEAL","HEAL_005","distributed","2021-06-23T19:43Z","2021-06-23T19:43Z","HEAL_005-O-34.5-7.5-20210623","A00000307362","HEAL_005-O-34.5-7.5-20210623-CN","A00000307253","soil","N","N",0.8,-27.4,1.07,46.71,43.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9e8f7481-ba26-459a-b68e-69b734f3707d","2021-08-05","HEAL_005.basePlot.bgc","D19","HEAL","HEAL_005","distributed","2021-06-23T20:08Z","2021-06-23T20:08Z","HEAL_005-M-6-8.5-20210623","A00000307366","HEAL_005-M-6-8.5-20210623-CN","A00000307207","soil","N","N",3.4,-26.4,0.23,6.47,28.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"dd8c95fa-a5be-4afa-bfdb-51c2ede8177e","2021-08-05","HEAL_005.basePlot.bgc","D19","HEAL","HEAL_005","distributed","2021-06-23T20:08Z","2021-06-23T20:08Z","HEAL_005-O-6-8.5-20210623","A00000307363","HEAL_005-O-6-8.5-20210623-CN","A00000307254","soil","N","N",1.6,-26.6,1.00,32.53,32.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"323f55b8-1b54-4181-84ab-382c07637630","2021-08-05","HEAL_001.basePlot.bgc","D19","HEAL","HEAL_001","distributed","2021-06-23T22:38Z","2021-06-23T22:38Z","HEAL_001-O-22.5-33.5-20210623","A00000307358","HEAL_001-O-22.5-33.5-20210623-CN","A00000307256","soil","N","N",-1.0,-27.4,1.10,45.95,41.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f06f5d5a-0239-46a5-8b32-e594d036417f","2021-08-05","HEAL_001.basePlot.bgc","D19","HEAL","HEAL_001","distributed","2021-06-23T22:58Z","2021-06-23T22:58Z","HEAL_001-O-2.5-21-20210623","A00000307359","HEAL_001-O-2.5-21-20210623-CN","A00000307258","soil","N","N",1.1,-26.4,1.32,42.33,32.2,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
