uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"bb538b2e-fa92-421a-9fa0-77da16b4a825","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T19:43Z","2021-06-23T19:43Z","2021-08-11","HEAL_005-O-34.5-7.5-20210623","A00000307362","HEAL_005-O-34.5-7.5-20210623-PH","NEON.DOC.014048vN","O",3.90,3.65,3.0,80.0,26.5,3.0,160.0,53.0,,"0000-0002-2117-4697",
"e1b23d3f-124d-42bc-b754-b31ce74664c9","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T19:43Z","2021-06-23T19:43Z","2021-08-13","HEAL_005-M-34.5-7.5-20210623","A00000307365","HEAL_005-M-34.5-7.5-20210623-PH","NEON.DOC.014048vN","M",4.52,3.80,10.0,50.0,5.0,10.0,100.0,10.0,,"0000-0002-3309-2269",
"29d0c250-cd8a-48c7-b37f-7bec19b8ae8d","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T20:08Z","2021-06-23T20:08Z","2021-08-13","HEAL_005-M-6-8.5-20210623","A00000307366","HEAL_005-M-6-8.5-20210623-PH","NEON.DOC.014048vN","M",5.26,4.46,10.1,30.0,3.0,10.1,60.0,5.9,,"0000-0002-3309-2269",
"8c0d9b73-3e0c-46ff-9625-93b0a4a6216b","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T20:08Z","2021-06-23T20:08Z","2021-08-11","HEAL_005-O-6-8.5-20210623","A00000307363","HEAL_005-O-6-8.5-20210623-PH","NEON.DOC.014048vN","O",3.99,3.80,5.0,60.0,11.9,5.0,120.0,23.9,,"0000-0002-2117-4697",
"e3985700-5eed-4668-ae9f-26bef64505e4","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2021-06-23T22:38Z","2021-06-23T22:38Z","2021-08-11","HEAL_001-O-22.5-33.5-20210623","A00000307358","HEAL_001-O-22.5-33.5-20210623-PH","NEON.DOC.014048vN","O",4.77,3.66,5.0,100.0,20.0,5.0,200.0,39.9,,"0000-0002-2117-4697",
"ee8650d3-3246-4128-87db-787b41362f72","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2021-06-23T22:58Z","2021-06-23T22:58Z","2021-08-11","HEAL_001-O-2.5-21-20210623","A00000307359","HEAL_001-O-2.5-21-20210623-PH","NEON.DOC.014048vN","O",4.23,3.91,5.0,80.0,16.0,5.0,160.0,31.9,,"0000-0002-2117-4697",
"75d961ba-72f9-44b8-8f31-a92ef5a63860","D19","HEAL","HEAL_001","HEAL_001.basePlot.bgc","2021-06-23T23:21Z","2021-06-23T23:21Z","2021-08-11","HEAL_001-O-6.5-15.5-20210623","A00000307360","HEAL_001-O-6.5-15.5-20210623-PH","NEON.DOC.014048vN","O",4.58,3.89,5.0,80.0,16.0,5.0,160.0,31.9,,"0000-0002-2117-4697",
"71ec74b7-a671-40d2-89d4-1c5e31defdfd","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2021-06-24T22:52Z","2021-06-24T22:52Z","2021-08-11","HEAL_004-O-13-6.5-20210624","A00000307380","HEAL_004-O-13-6.5-20210624-PH","NEON.DOC.014048vN","O",4.97,4.54,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"6aede583-9352-450b-b27b-0b3cbb054adf","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2021-06-24T22:52Z","2021-06-24T22:52Z","2021-08-13","HEAL_004-M-13-6.5-20210624","A00000307384","HEAL_004-M-13-6.5-20210624-PH","NEON.DOC.014048vN","M",5.79,4.95,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"09200dc8-2e47-45fc-b279-f74dfce5cfe3","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2021-06-24T23:19Z","2021-06-24T23:19Z","2021-08-13","HEAL_004-M-2-30-20210624","A00000307388","HEAL_004-M-2-30-20210624-PH","NEON.DOC.014048vN","M",5.40,4.69,10.1,30.0,3.0,10.1,60.0,5.9,,"0000-0002-3309-2269",
"1feadcff-732c-47a4-a7f2-33ae10b71987","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2021-06-24T23:19Z","2021-06-24T23:19Z","2021-08-11","HEAL_004-O-2-30-20210624","A00000307381","HEAL_004-O-2-30-20210624-PH","NEON.DOC.014048vN","O",4.00,4.14,5.0,80.0,16.0,5.0,160.0,32.0,,"0000-0002-2117-4697",
"8d050e45-8242-48d9-9d41-2e596f525e26","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2021-06-24T23:51Z","2021-06-24T23:51Z","2021-08-13","HEAL_004-M-22-33-20210624","A00000307383","HEAL_004-M-22-33-20210624-PH","NEON.DOC.014048vN","M",6.07,5.34,10.0,40.0,4.0,10.0,80.0,8.0,,"0000-0002-3309-2269",
"adec97de-c73a-482a-8161-a3f8bdbfbf45","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2021-06-24T23:51Z","2021-06-24T23:51Z","2021-08-11","HEAL_004-O-22-33-20210624","A00000307379","HEAL_004-O-22-33-20210624-PH","NEON.DOC.014048vN","O",6.39,5.62,5.0,80.0,16.0,5.0,160.0,32.0,,"0000-0002-2117-4697",
