uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"428e503d-74ac-4a18-bf3a-d4a0b2427418","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-28T22:59Z","2023-06-28T22:59Z","NEON.DOC.014048vO","O","2023-06-30T00:42Z","2023-07-04T22:30Z","DEJU_006-O-21-20230628","A00000427666","DEJU_006-O-21-20230628-CN","A00000428259","DEJU_006-O-21-20230628-BA","A00000429465",23.2,"N","OK",,"0009-0003-6809-0161",
"da91583b-d229-4c74-b697-b2c823c4e983","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-28T22:59Z","2023-06-28T22:59Z","NEON.DOC.014048vO","M","2023-06-30T01:18Z","2023-07-04T22:30Z","DEJU_006-M-21-20230628","A00000309397","DEJU_006-M-21-20230628-CN","A00000428241","DEJU_006-M-21-20230628-BA","A00000429458",37.6,"N","OK",,"0009-0003-6809-0161",
"aa18930f-a742-4343-8537-8588810a8451","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-28T23:56Z","2023-06-28T23:56Z","NEON.DOC.014048vO","M","2023-06-30T00:15Z","2023-07-04T22:30Z","DEJU_006-M-41-20230628","A00000309383","DEJU_006-M-41-20230628-CN","A00000428270","DEJU_006-M-41-20230628-BA","A00000429443",158.8,"N","OK",,"0009-0003-6809-0161",
"36f13da6-9d39-4ecc-a57e-5487d886bd09","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-28T23:56Z","2023-06-28T23:56Z","NEON.DOC.014048vO","O","2023-06-30T00:18Z","2023-07-04T22:30Z","DEJU_006-O-41-20230628","A00000427668","DEJU_006-O-41-20230628-CN","A00000428271","DEJU_006-O-41-20230628-BA","A00000429442",31.1,"N","OK",,"0009-0003-6809-0161",
"bf21d7e6-5bfa-4886-bccb-646df02c5291","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-29T01:21Z","2023-06-29T01:21Z","NEON.DOC.014048vO","O","2023-06-30T00:39Z","2023-07-04T22:30Z","DEJU_006-O-39-20230628","A00000427667","DEJU_006-O-39-20230628-CN","A00000428261","DEJU_006-O-39-20230628-BA","A00000429462",24.1,"N","OK",,"0009-0003-6809-0161",
"6f8d60d5-61a0-4e76-ae39-4ded0278f635","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2023-06-29T01:21Z","2023-06-29T01:21Z","NEON.DOC.014048vO","M","2023-06-30T01:21Z","2023-07-04T22:30Z","DEJU_006-M-39-20230628","A00000309732","DEJU_006-M-39-20230628-CN","A00000428240","DEJU_006-M-39-20230628-BA","A00000429460",144.9,"N","OK",,"0009-0003-6809-0161",
"cd8d7fda-416a-4abc-95ec-042d06df050c","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2023-06-29T02:24Z","2023-06-29T02:24Z","NEON.DOC.014048vO","M","2023-06-30T01:15Z","2023-07-04T22:30Z","DEJU_001-M-21-20230628","A00000309720","DEJU_001-M-21-20230628-CN","A00000428246","DEJU_001-M-21-20230628-BA","A00000349161",165.4,"N","OK",,"0009-0003-6809-0161",
"95683e48-7b29-4485-b21e-8ae2c6605ec9","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2023-06-29T02:48Z","2023-06-29T02:48Z","NEON.DOC.014048vO","M","2023-06-30T01:06Z","2023-07-04T22:30Z","DEJU_001-M-23-20230628","A00000309394","DEJU_001-M-23-20230628-CN","A00000428238","DEJU_001-M-23-20230628-BA","A00000308694",109.1,"N","OK",,"0009-0003-6809-0161",
"c176269d-d369-47b0-b699-46891be66c45","D19","DEJU","DEJU_001","DEJU_001.basePlot.bgc","2023-06-29T03:03Z","2023-06-29T03:03Z","NEON.DOC.014048vO","M","2023-06-30T00:31Z","2023-07-04T22:30Z","DEJU_001-M-41-20230628","A00000309395","DEJU_001-M-41-20230628-CN","A00000428275","DEJU_001-M-41-20230628-BA","A00000308680",99.4,"N","OK",,"0009-0003-6809-0161",
"642a5a7d-bffc-4a3c-8fb1-0433723b3bbd","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2023-06-29T16:39Z","2023-06-29T16:39Z","NEON.DOC.014048vO","O","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_002-O-39-20230629","A00000427665","DEJU_002-O-39-20230629-CN","A00000428253","DEJU_002-O-39-20230629-BA","A00000429459",33.4,"N","OK",,"0009-0002-1350-1448",
"89ba3b90-a71d-48cd-873d-b11533eb029c","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2023-06-29T16:48Z","2023-06-29T16:48Z","NEON.DOC.014048vO","M","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_002-M-39-20230629","A00000309404","DEJU_002-M-39-20230629-CN","A00000428254","DEJU_002-M-39-20230629-BA","A00000429455",180.7,"N","OK",,"0009-0002-1350-1448",
"4d308754-9c5d-462c-b709-5d213ebc1d45","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2023-06-29T17:47Z","2023-06-29T17:47Z","NEON.DOC.014048vO","M","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_002-M-21-20230629","A00000309396","DEJU_002-M-21-20230629-CN","A00000428247","DEJU_002-M-21-20230629-BA","A00000429464",161.4,"N","OK",,"0009-0002-1350-1448",
"1d8c9120-6a36-4c85-830d-7a929e9068dd","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2023-06-29T18:21Z","2023-06-29T18:21Z","NEON.DOC.014048vO","M","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_002-M-23-20230629","A00000427664","DEJU_002-M-23-20230629-CN","A00000428272","DEJU_002-M-23-20230629-BA","A00000308695",107.7,"N","OK",,"0009-0002-1350-1448",
"25a98321-89c2-4ff8-bb03-836e70a8dd01","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2023-06-29T20:10Z","2023-06-29T20:10Z","NEON.DOC.014048vO","M","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_015-M-41-20230629","A00000309727","DEJU_015-M-41-20230629-CN","A00000428227","DEJU_015-M-41-20230629-BA","A00000308679",172.1,"N","OK",,"0009-0002-1350-1448",
"47fa162d-a47a-450d-800d-cdbebe16c215","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2023-06-29T20:10Z","2023-06-29T20:10Z","NEON.DOC.014048vO","O","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_015-O-41-20230629","A00000427677","DEJU_015-O-41-20230629-CN","A00000428228","DEJU_015-O-41-20230629-BA","A00000349203",17.9,"N","OK",,"0009-0002-1350-1448",
"67260431-a0e7-4089-856c-e3ca21ec8a2d","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2023-06-29T21:13Z","2023-06-29T21:13Z","NEON.DOC.014048vO","O","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_015-O-21-20230629","A00000427675","DEJU_015-O-21-20230629-CN","A00000428229","DEJU_015-O-21-20230629-BA","A00000307022",18.8,"N","OK",,"0009-0002-1350-1448",
"4f87c853-cc89-4367-983b-cfaffce084da","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2023-06-29T22:11Z","2023-06-29T22:11Z","NEON.DOC.014048vO","O","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_015-O-23-20230629","A00000427676","DEJU_015-O-23-20230629-CN","A00000428244","DEJU_015-O-23-20230629-BA","A00000429463",18.3,"N","OK",,"0009-0002-1350-1448",
"1e2b36d2-892f-4b93-bd19-abb267dc5a03","D19","DEJU","DEJU_015","DEJU_015.basePlot.bgc","2023-06-29T22:29Z","2023-06-29T22:29Z","NEON.DOC.014048vO","M","2023-06-30T19:00Z","2023-07-04T22:30Z","DEJU_015-M-23-20230629","A00000309387","DEJU_015-M-23-20230629-CN","A00000428226","DEJU_015-M-23-20230629-BA","A00000429456",167.5,"N","OK",,"0009-0002-1350-1448",
