uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF
"fc3bbacb-b9cf-497e-9054-2d210fef5b8b","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","2017-07-21T19:13Z","2017-08-18T20:05Z","TOOL_005-O-31.5-6-20170818",,"TOOL_005-O-31.5-6-20170818-KCL",,"ok","2018-03-20",1.005,1,"OK",,"2018-03-26",0.276,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"69193c6a-acd7-4df6-b9a3-f330dbf39061","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","2017-07-21T19:14Z","2017-08-18T17:42Z","TOOL_006-O-39-35-20170818",,"TOOL_006-O-39-35-20170818-KCL",,"ok","2018-03-20",0.927,1,"OK",,"2018-03-26",0.217,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"c3d7a129-5894-4bfc-8eb9-ee6ff360a78b","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","2017-07-21T19:28Z","2017-08-18T17:45Z","TOOL_006-M-39-35-20170818",,"TOOL_006-M-39-35-20170818-KCL",,"ok","2018-03-20",0.867,1,"OK",,"2018-03-26",0.163,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"59578f4a-4e06-4756-91ae-7e20f096ab7e","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","2017-07-21T19:59Z","2017-08-18T17:34Z","TOOL_006-O-34-17.5-20170818",,"TOOL_006-O-34-17.5-20170818-KCL",,"ok","2018-03-20",1.250,1,"OK",,"2018-03-26",0.331,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"4f8ba9eb-3822-4a72-98d4-ef64e87232aa","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","2017-07-21T20:06Z","2017-08-18T20:32Z","TOOL_005-M-4.5-20.5-20170818",,"TOOL_005-M-4.5-20.5-20170818-KCL",,"ok","2018-03-20",0.998,1,"OK",,"2018-03-26",0.075,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"4174a261-28d5-4e44-a430-44550f39b88e","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","2017-07-21T20:18Z","2017-08-18T17:38Z","TOOL_006-M-34-17.5-20170818",,"TOOL_006-M-34-17.5-20170818-KCL",,"ok","2018-03-20",0.771,1,"OK",,"2018-03-26",0.085,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"816146ad-4f34-4004-85c8-208ca0342ce8","TOOL_006.basePlot.bgc","D18","TOOL","TOOL_006","2017-07-21T21:05Z","2017-08-18T17:56Z","TOOL_006-O-11.5-5.5-20170818",,"TOOL_006-O-11.5-5.5-20170818-KCL",,"ok","2018-03-20",0.629,1,"OK",,"2018-03-26",0.099,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"0a67f9d9-713b-4dcb-862e-0856dfce54a7","TOOL_002.basePlot.bgc","D18","TOOL","TOOL_002","2017-07-21T23:02Z","2017-08-18T18:41Z","TOOL_002-O-9.5-21.5-20170818",,"TOOL_002-O-9.5-21.5-20170818-KCL",,"ok","2018-03-20",1.155,1,"OK",,"2018-03-26",0.116,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"173983aa-2118-44cd-a5c9-bce24f742493","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","2017-07-21T23:05Z","2017-08-18T22:13Z","TOOL_001-O-7-18-20170818",,"TOOL_001-O-7-18-20170818-KCL",,"ok","2018-03-20",1.549,1,"OK",,"2018-03-26",0.168,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"9444e080-bca0-4246-975c-9f5fdfee059f","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","2017-07-21T23:31Z","2017-08-18T22:18Z","TOOL_001-M-7-18-20170818",,"TOOL_001-M-7-18-20170818-KCL",,"ok","2018-03-20",0.920,1,"OK",,"2018-03-26",0.058,1,"blanks exceed sample value",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"0853c3f2-c54b-4f77-a8a0-88e945209d7e","TOOL_001.basePlot.bgc","D18","TOOL","TOOL_001","2017-07-21T23:52Z","2017-08-18T22:21Z","TOOL_001-O-6-21.5-20170818",,"TOOL_001-O-6-21.5-20170818-KCL",,"ok","2018-03-20",0.895,1,"OK",,"2018-03-26",0.075,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"3ff8f324-2920-46f3-a2b5-8439ac2afd71","TOOL_002.basePlot.bgc","D18","TOOL","TOOL_002","2017-07-22T00:21Z","2017-08-18T18:46Z","TOOL_002-O-3-6-20170818",,"TOOL_002-O-3-6-20170818-KCL",,"ok","2018-03-20",0.995,1,"OK",,"2018-03-26",0.074,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
